question,answer
What is the law about punishment for theft?,"Whoever commits theft shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both."
What is the law about divorce?,"Any marriage solemnized under this Act may, on a petition presented by either the husband or the wife, be dissolved by a decree of divorce."
What is the law about punishment for murder?,"Whoever commits murder shall be punished with death, or imprisonment for life, and shall also be liable to fine."
"What is the law about confession caused by inducement, threat or promise?","A confession made by an accused person is irrelevant in a criminal proceeding if it appears to the court to have been caused by inducement, threat or promise."
What is the law about punishment for murder?,"Whoever commits murder shall be punished with death, or imprisonment for life, and shall also be liable to fine."
What is the law about punishment for murder?,"Whoever commits murder shall be punished with death, or imprisonment for life, and shall also be liable to fine."
What is the law about punishment for murder?,"Whoever commits murder shall be punished with death, or imprisonment for life, and shall also be liable to fine."
What is the law about divorce?,"Any marriage solemnized under this Act may, on a petition presented by either the husband or the wife, be dissolved by a decree of divorce."
What is the law about punishment for murder?,"Whoever commits murder shall be punished with death, or imprisonment for life, and shall also be liable to fine."
What is the law about divorce?,"Any marriage solemnized under this Act may, on a petition presented by either the husband or the wife, be dissolved by a decree of divorce."
What is the law about information in cognizable cases?,"Every information relating to the commission of a cognizable offence, if given orally to an officer in charge of a police station, shall be reduced to writing."
What is the law about punishment for murder?,"Whoever commits murder shall be punished with death, or imprisonment for life, and shall also be liable to fine."
What is the law about information in cognizable cases?,"Every information relating to the commission of a cognizable offence, if given orally to an officer in charge of a police station, shall be reduced to writing."
What is the law about information in cognizable cases?,"Every information relating to the commission of a cognizable offence, if given orally to an officer in charge of a police station, shall be reduced to writing."
What is the law about punishment for murder?,"Whoever commits murder shall be punished with death, or imprisonment for life, and shall also be liable to fine."
What is the law about punishment for murder?,"Whoever commits murder shall be punished with death, or imprisonment for life, and shall also be liable to fine."
What is the law about punishment for theft?,"Whoever commits theft shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both."
"What is the law about confession caused by inducement, threat or promise?","A confession made by an accused person is irrelevant in a criminal proceeding if it appears to the court to have been caused by inducement, threat or promise."
What is the law about punishment for theft?,"Whoever commits theft shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both."
What is the law about punishment for murder?,"Whoever commits murder shall be punished with death, or imprisonment for life, and shall also be liable to fine."
